airbnb_name,host_id,Neighborhood_Group,Neighborhood,Lat,Lon,room_type,price,min_nights,availability_365,Census_Year,Population
ChinitaBhost QUEENS,225307360.0,Queens,Woodhaven,40.687059999999995,-73.8645,Private room,45.0,2.0,47.0,2019.0,143756.0
"CHEAP ROOM IN QUEENS, CLOSE TO SUBWAY STATION",463061.0,Queens,Woodhaven,40.69642,-73.8502,Private room,42.0,3.0,281.0,2019.0,143756.0
"COZY AND ELEGANCE PLACE NEAR JFK, LGA",173290675.0,Queens,Woodhaven,40.69883,-73.85141999999999,Private room,45.0,2.0,50.0,2019.0,143756.0
â¢â¢RARE Modern Apt For 2019 Next to Subway & JFKâ¢â¢,161349813.0,Queens,Woodhaven,40.69113,-73.86778000000001,Entire home/apt,106.0,4.0,113.0,2019.0,143756.0
La Estancia,205543083.0,Queens,Woodhaven,40.6905,-73.86117,Private room,80.0,3.0,342.0,2019.0,143756.0
Small Cozy Room Wifi & AC near JFK,9284163.0,Queens,Woodhaven,40.689679999999996,-73.85219000000001,Private room,29.0,2.0,50.0,2019.0,143756.0
Private room with own T.V.,52577963.0,Queens,Woodhaven,40.69461,-73.8486,Private room,45.0,5.0,216.0,2019.0,143756.0
3 Bedroom Penthouse minutes from JFK and Manhattan,34023353.0,Queens,Woodhaven,40.69855,-73.85279,Private room,130.0,1.0,89.0,2019.0,143756.0
#1 Hotel-Like Private Room King Bed Near JFK,263504959.0,Queens,Woodhaven,40.69158,-73.86578,Private room,50.0,1.0,273.0,2019.0,143756.0
Cozy Spacious Double Bed #2A Near JFK & J Train,62843071.0,Queens,Woodhaven,40.69628,-73.85255,Private room,45.0,1.0,287.0,2019.0,143756.0
Entire Newly Renovated 2 Bedroom Private Home,52577963.0,Queens,Woodhaven,40.69101,-73.8486,Entire home/apt,199.0,5.0,338.0,2019.0,143756.0
Cozy Spacious Double Bed #1 Near JFK and J Train,62843071.0,Queens,Woodhaven,40.69617,-73.85204,Private room,45.0,1.0,278.0,2019.0,143756.0
"Female only, Private room,3 min walking to metro J",219930693.0,Queens,Woodhaven,40.69102,-73.86089,Private room,90.0,2.0,89.0,2019.0,143756.0
Woodhaven Castle,47516406.0,Queens,Woodhaven,40.6898,-73.86077,Private room,45.0,7.0,360.0,2019.0,143756.0
Beautiful room(s) near JFK airport,156547988.0,Queens,Woodhaven,40.68853,-73.85474,Private room,60.0,1.0,335.0,2019.0,143756.0
Park side Apt in front of Forest Park,271867677.0,Queens,Woodhaven,40.69658,-73.85615,Private room,50.0,1.0,359.0,2019.0,143756.0
Private Room in Queens NYC,679431.0,Queens,Woodhaven,40.69345,-73.86674000000001,Private room,65.0,2.0,180.0,2019.0,143756.0
Cozy Private Room #2 Two Beds Near JFK and J Train,62843071.0,Queens,Woodhaven,40.69546,-73.85061999999999,Private room,38.0,1.0,192.0,2019.0,143756.0
CONFORTABLE BIG BED ON NY CLOSE TO JFK AND LGA,173290675.0,Queens,Woodhaven,40.69791,-73.85158,Private room,40.0,2.0,330.0,2019.0,143756.0
Entire Cozy 3 Bedroom in private home,52577963.0,Queens,Woodhaven,40.694590000000005,-73.85081,Entire home/apt,150.0,5.0,121.0,2019.0,143756.0
"â¥â¥1*NYC Cozy: 4min/subway, 25m/city, 20m/LGA,JFKâ¥â¥",63272360.0,Queens,Woodhaven,40.69343,-73.86745,Private room,60.0,3.0,50.0,2019.0,143756.0
"HOTEL ROOM LIKE âLâ
AFFORDABLE PRICE",59156312.0,Queens,Woodhaven,40.68727,-73.86413,Private room,59.0,3.0,361.0,2019.0,143756.0
"â¥â¥2*NYC Cozy: 4min/subway, 25m/city, 20m/LGA,JFKâ¥â¥",63272360.0,Queens,Woodhaven,40.69482,-73.86747,Private room,60.0,3.0,41.0,2019.0,143756.0
"SMALL ROOM NO WINDOW, NO AIR CONDITIONER V-ROOM",59156312.0,Queens,Woodhaven,40.6875,-73.8664,Private room,39.0,3.0,358.0,2019.0,143756.0
"A Comfortable Place, 15 min to JFK & 30 min to NYC",210339363.0,Queens,Woodhaven,40.6854,-73.8623,Private room,50.0,3.0,44.0,2019.0,143756.0
#8 Hotel-Like 1 Bedroom Apartment KINGBed near JFK,263504959.0,Queens,Woodhaven,40.691140000000004,-73.86459,Entire home/apt,48.0,1.0,305.0,2019.0,143756.0
*Rare Spacious Apartment Near JFK/Subway for 2019*,21784559.0,Queens,Woodhaven,40.69017,-73.86683000000001,Entire home/apt,90.0,4.0,106.0,2019.0,143756.0
Private cozy  suite,85375269.0,Queens,Woodhaven,40.689040000000006,-73.85051999999999,Entire home/apt,71.0,1.0,173.0,2019.0,143756.0
Charming and bright place with a good vibe!,46667080.0,Queens,Woodhaven,40.6905,-73.85611999999999,Entire home/apt,85.0,2.0,52.0,2019.0,143756.0
Cozy Room in a Friendly House CLOSE TO SUBWAY,463061.0,Queens,Woodhaven,40.69621,-73.8502,Private room,49.0,2.0,96.0,2019.0,143756.0
Whole beautiful house with Backyard,2082345.0,Queens,Woodhaven,40.69165,-73.84841,Entire home/apt,250.0,5.0,32.0,2019.0,143756.0
Cozy Private Rm #2C Two Beds Near JFK and J Train,62843071.0,Queens,Woodhaven,40.696059999999996,-73.85226,Private room,55.0,1.0,248.0,2019.0,143756.0
HOTEL ROOM LIKE WITH AFFORDABLE RATE!!!   âCâ,59156312.0,Queens,Woodhaven,40.68655,-73.86491,Private room,69.0,3.0,332.0,2019.0,143756.0
#1 JFK/NYC Home sweet home!,37891510.0,Queens,Woodhaven,40.68577,-73.85984,Private room,45.0,3.0,54.0,2019.0,143756.0
"â¥â¥â¥*NYC Room: 4min/subway, 25m/city, 20m/LGA,JFKâ¥â¥",63272360.0,Queens,Woodhaven,40.69342,-73.8684,Private room,55.0,4.0,150.0,2019.0,143756.0
Homely Peaceful Apartment. Close to JFK,77393311.0,Queens,Woodhaven,40.69567,-73.84949,Private room,50.0,2.0,174.0,2019.0,143756.0
"ç®åçåæ¿ä¸åä¸¤å«çé´,ä½äºåä¸è¿ç¦»å¼è¾,èµ°è·¯ååéå°å°éç«,äº¤éä¾¿å©
Simple bigroom",114104868.0,Queens,Woodhaven,40.69883,-73.85257,Private room,65.0,3.0,365.0,2019.0,143756.0
Very Clean Private Room Near Buses & Restaurants!!,118405437.0,Queens,Woodhaven,40.69405,-73.86693000000001,Private room,66.0,2.0,364.0,2019.0,143756.0
"Bright Room Near JFK ,LGA &  Train with AC",15009272.0,Queens,Woodhaven,40.6955,-73.86281,Private room,53.0,3.0,189.0,2019.0,143756.0
Private room 3 min walking to J train(female only),219930693.0,Queens,Woodhaven,40.69034,-73.86268000000001,Private room,90.0,2.0,180.0,2019.0,143756.0
#6 New Hotel-Like Private Room QUEEN Bed near JFK,263504959.0,Queens,Woodhaven,40.691829999999996,-73.86523000000001,Private room,34.0,1.0,320.0,2019.0,143756.0
"HOTEL ROOM LIKE!!  WITH AFFORDABLE RATE!!   ""R""",59156312.0,Queens,Woodhaven,40.68765,-73.865,Private room,99.0,3.0,343.0,2019.0,143756.0
Cozy private room with own TV,52577963.0,Queens,Woodhaven,40.69454,-73.85041,Private room,45.0,5.0,212.0,2019.0,143756.0
Cozy Woodhaven,1720151.0,Queens,Woodhaven,40.68923,-73.85304000000001,Entire home/apt,75.0,1.0,325.0,2019.0,143756.0
"Quiet & Elegant, 30 mins to midtown Manhattan!",56403037.0,Queens,Woodhaven,40.688990000000004,-73.85001,Shared room,35.0,1.0,53.0,2019.0,143756.0
#2 Minutes to JFK!!!,37891510.0,Queens,Woodhaven,40.687090000000005,-73.85982,Private room,55.0,4.0,360.0,2019.0,143756.0
Very Clean Private Room Near Buses & Restaurants!!,118405437.0,Queens,Woodhaven,40.694109999999995,-73.86877,Private room,66.0,1.0,365.0,2019.0,143756.0
#3 Hotel-Like LOFT Private Room KING Bed Near JFK,263504959.0,Queens,Woodhaven,40.69298,-73.86395999999999,Private room,50.0,1.0,288.0,2019.0,143756.0
âPrivate Guest Suite in a great location â,40511430.0,Queens,Woodhaven,40.697829999999996,-73.85221,Private room,70.0,2.0,108.0,2019.0,143756.0
#2 Hotel-like Private Room KING Bed near JFK,263504959.0,Queens,Woodhaven,40.6929,-73.86378,Private room,50.0,1.0,273.0,2019.0,143756.0
MY HOUSE ON NEW YORK!! CLOSE TO JFK AND LGA,173290675.0,Queens,Woodhaven,40.69907,-73.85161,Shared room,34.0,1.0,348.0,2019.0,143756.0
"â¥NYC Apt: 4min/subway, 25m/city, 20m/LGA,JFKâ¥",63272360.0,Queens,Woodhaven,40.69482,-73.86618,Entire home/apt,85.0,3.0,300.0,2019.0,143756.0
"HOTEL ROOM LIKE!!!   WITH AFFORDABLE RATE!!!   ""Sâ",59156312.0,Queens,Woodhaven,40.686409999999995,-73.86635,Private room,69.0,3.0,357.0,2019.0,143756.0
Elegant &Classical. 30 mins to midtown  Manhattan!,56403037.0,Queens,Woodhaven,40.68793,-73.84975,Private room,42.0,1.0,121.0,2019.0,143756.0
"Bright Large  Room near JFK, LGA & Train 2 beds",15009272.0,Queens,Woodhaven,40.694140000000004,-73.86324,Private room,40.0,3.0,291.0,2019.0,143756.0
JFK SPACIOUS ROOM / A  4  BLOCKS TO SUBWAY,9284163.0,Queens,Woodhaven,40.68955,-73.85348,Private room,39.0,2.0,346.0,2019.0,143756.0
JFK Studio Flat with Kitchen and Private bathroom,9284163.0,Queens,Woodhaven,40.689820000000005,-73.85379,Entire home/apt,65.0,2.0,311.0,2019.0,143756.0
#7 New Hotel-Like Private Room KING bed near JFK,263504959.0,Queens,Woodhaven,40.69137,-73.86591,Private room,35.0,1.0,341.0,2019.0,143756.0
Lovely Cozy private room with own Television,52577963.0,Queens,Woodhaven,40.696259999999995,-73.8488,Private room,45.0,5.0,238.0,2019.0,143756.0
#5 New Hotel-Like Private Room  KING bed near JFK,263504959.0,Queens,Woodhaven,40.69185,-73.86431,Private room,37.0,1.0,352.0,2019.0,143756.0
"â¥â¥NYC Apt: 4min/subway, 25m/city, 20m/LGA,JFKâ¥â¥",63272360.0,Queens,Woodhaven,40.69389,-73.86823000000001,Entire home/apt,140.0,3.0,232.0,2019.0,143756.0
"HOTEL ROOM LIKE âTâ
AFFORDABLE PRICE",59156312.0,Queens,Woodhaven,40.687709999999996,-73.86456,Private room,89.0,3.0,358.0,2019.0,143756.0
"Separate PRIVATE ROOM furnished, 5 min to A train",107930075.0,Queens,Woodhaven,40.69034,-73.84611,Private room,50.0,3.0,178.0,2019.0,143756.0
JFKQueensComfort. Private Room -Welcome Long Stays,105444832.0,Queens,Woodhaven,40.68931,-73.85485,Private room,35.0,9.0,246.0,2019.0,143756.0
"HOTEL ROOM LIKE!!!   WITH AFFORDABLE RATE!!!   ""P""",59156312.0,Queens,Woodhaven,40.68654,-73.86672,Private room,89.0,3.0,355.0,2019.0,143756.0
"HOTEL ROOM LIKE!!   WITH AFFORDABLE RATE!!  ""O""",59156312.0,Queens,Woodhaven,40.68614,-73.86681999999999,Private room,69.0,3.0,348.0,2019.0,143756.0
Beautiful newly renovated home-Long stays welcome!,16705993.0,Queens,Woodhaven,40.68958,-73.85294,Private room,70.0,2.0,65.0,2019.0,143756.0
"CLEAN,  PRIVATE ROOM CLOSE TO THE CITY AND JFK.",100970583.0,Queens,Woodhaven,40.687740000000005,-73.8593,Private room,50.0,4.0,215.0,2019.0,143756.0
Art Gallery apartment in a Queensâ Victorian house,207622517.0,Queens,Woodhaven,40.69508,-73.86032,Entire home/apt,170.0,3.0,308.0,2019.0,143756.0
Cozy room in a three-bedroom House,47516406.0,Queens,Woodhaven,40.691390000000006,-73.86086,Private room,10.0,7.0,180.0,2019.0,143756.0
"Cozy private room, close to transportation",96335626.0,Queens,Woodhaven,40.6922,-73.86399999999999,Private room,43.0,3.0,283.0,2019.0,143756.0
PRIVATE ROOM CLOSE TO THE CITY AND JFK  AIRPORT.,100970583.0,Queens,Woodhaven,40.688190000000006,-73.86079000000001,Private room,45.0,4.0,266.0,2019.0,143756.0
#4 Hotel-Like LOFT Private Room KING bed near JFK,263504959.0,Queens,Woodhaven,40.69311,-73.86525999999999,Private room,50.0,1.0,283.0,2019.0,143756.0
Entire studio fully renovated,52577963.0,Queens,Woodhaven,40.690540000000006,-73.84812,Entire home/apt,99.0,5.0,319.0,2019.0,143756.0
"HOTEL ROOM LIKE!!!  WITH AFFORDABLE RATE!!!    ""A""",59156312.0,Queens,Woodhaven,40.68783,-73.86679000000001,Private room,69.0,3.0,359.0,2019.0,143756.0
"Bright, Brand NEW, and Spacious, Gorgeous Home",115827173.0,Staten Island,Willowbrook,40.598859999999995,-74.13217,Entire home/apt,249.0,4.0,351.0,2018.0,90834.28818999999
â¡ 3 APT in 1--Large groups Travel & stay togetherâ¡,129222253.0,Bronx,Williamsbridge,40.87831,-73.86511,Entire home/apt,350.0,2.0,323.0,2019.0,149128.0
Large private room w/ 2 built-in closets,236631469.0,Bronx,Williamsbridge,40.88449,-73.86227,Private room,25.0,30.0,85.0,2019.0,149128.0
Cozy and affordable room.,32379616.0,Bronx,Williamsbridge,40.88165,-73.85625,Private room,34.0,5.0,313.0,2019.0,149128.0
Private Apt w/2 Queen beds close to NY Attractions,110539055.0,Bronx,Williamsbridge,40.87699,-73.85365999999999,Entire home/apt,87.0,2.0,298.0,2019.0,149128.0
Blissfully Quiet Room,16151285.0,Bronx,Williamsbridge,40.87896,-73.84978000000001,Private room,55.0,28.0,338.0,2019.0,149128.0
Clean and quite,140125433.0,Bronx,Williamsbridge,40.87498,-73.85644,Private room,39.0,3.0,49.0,2019.0,149128.0
"Elegant Private Room,  Bath & Patio Next to Subway",59795431.0,Bronx,Williamsbridge,40.88192,-73.86186,Private room,60.0,1.0,283.0,2019.0,149128.0
"Quiet, Secure, Clean and very Private Apartment",75030399.0,Bronx,Williamsbridge,40.87938,-73.86349,Entire home/apt,500.0,2.0,345.0,2019.0,149128.0
â­ï¸ Luxury Studio with modern finishes â­ï¸,193626078.0,Bronx,Williamsbridge,40.87701,-73.86282,Entire home/apt,200.0,1.0,347.0,2019.0,149128.0
1BD SAFE & AFFORDABLE  WITH TV  FULLY RENOVATED,73676969.0,Bronx,Williamsbridge,40.87852,-73.85003,Private room,36.0,2.0,47.0,2019.0,149128.0
AFFORDABLE COZY PRIVATE ROOM,16151285.0,Bronx,Williamsbridge,40.8789,-73.84855,Private room,45.0,14.0,325.0,2019.0,149128.0
Affordable and Spacious room,32379616.0,Bronx,Williamsbridge,40.88301,-73.85452,Private room,65.0,5.0,123.0,2019.0,149128.0
"Private area Smoking/non smoking, great area",261604139.0,Bronx,Williamsbridge,40.87874,-73.84746,Private room,40.0,1.0,89.0,2019.0,149128.0
"**Newly Renovated, Cozy, Urban Oasis entire apt**",227818501.0,Bronx,Williamsbridge,40.87684,-73.86389,Entire home/apt,120.0,2.0,97.0,2019.0,149128.0
A SUPERB One Bedroom Apartment,57954654.0,Bronx,Williamsbridge,40.87556,-73.8584,Entire home/apt,85.0,2.0,304.0,2019.0,149128.0
Small studio,253698437.0,Bronx,Williamsbridge,40.88171,-73.85384,Entire home/apt,75.0,2.0,360.0,2019.0,149128.0
LARGE ROOM - FIT 2-3 GUESTS - SAFE & RENOVATED,73676969.0,Bronx,Williamsbridge,40.87724,-73.85047,Private room,56.0,2.0,70.0,2019.0,149128.0
Slice of New York. Enjoy Ethnicity and culture!!,246806787.0,Bronx,Williamsbridge,40.88542,-73.86169,Private room,140.0,2.0,365.0,2019.0,149128.0
Bronx Cozy 1 Bedroom Apartment with entire access.,176279414.0,Bronx,Williamsbridge,40.87021,-73.86095,Entire home/apt,85.0,2.0,329.0,2019.0,149128.0
Heavenly Pad!!!,142447586.0,Bronx,Williamsbridge,40.880320000000005,-73.85876999999999,Private room,45.0,3.0,325.0,2019.0,149128.0
Uptown Bronx Apartment,73126926.0,Bronx,Williamsbridge,40.88493,-73.8618,Entire home/apt,67.0,3.0,140.0,2019.0,149128.0
Relax in our Modern & Cozily renovated Urban Oasis,227818501.0,Bronx,Williamsbridge,40.87846,-73.86310999999999,Entire home/apt,140.0,2.0,358.0,2019.0,149128.0
Modern NYC 2 Bedroom apt. Close to everything 34a,22641060.0,Bronx,Williamsbridge,40.878209999999996,-73.86354,Entire home/apt,85.0,30.0,365.0,2019.0,149128.0
2BR Private Apt Guest Homestay,16151285.0,Bronx,Williamsbridge,40.88075,-73.84845,Entire home/apt,95.0,3.0,358.0,2019.0,149128.0
Cozy Private Room,16151285.0,Bronx,Williamsbridge,40.88016,-73.84923,Private room,43.0,28.0,336.0,2019.0,149128.0
Private Room with adjoining bathroom,8918030.0,Bronx,Williamsbridge,40.88296,-73.86264,Private room,50.0,1.0,311.0,2019.0,149128.0
Tiny Private Artist's Studio in NYC,5309143.0,Bronx,Williamsbridge,40.87765,-73.86318,Entire home/apt,63.0,5.0,235.0,2019.0,149128.0
â¤ï¸â¤ï¸NEW 2 level home 15min to the Beach â BOOK NOW,129222253.0,Bronx,Williamsbridge,40.87675,-73.86372,Entire home/apt,280.0,2.0,344.0,2019.0,149128.0
5 âââââ Gorgeous suite only 1 block from subway!,129222253.0,Bronx,Williamsbridge,40.8785,-73.86346999999999,Entire home/apt,200.0,1.0,326.0,2019.0,149128.0
1BD WITH PRIVATE BATHROOM - VERY COZY & 42 INCH TV,73676969.0,Bronx,Williamsbridge,40.87877,-73.85044,Private room,55.0,2.0,35.0,2019.0,149128.0
COMFORTABLE PRIVATE CLEAN ROOM FULLY FURNISHED,175368807.0,Bronx,Williamsbridge,40.87579,-73.86532,Private room,33.0,3.0,365.0,2019.0,149128.0
"luxury, neat, minute fom trains",118816229.0,Bronx,Williamsbridge,40.882490000000004,-73.86274,Private room,50.0,1.0,328.0,2019.0,149128.0
Fully Private Cozy Studio Close to NY Attractions!,110539055.0,Bronx,Williamsbridge,40.87905,-73.85243,Entire home/apt,76.0,2.0,300.0,2019.0,149128.0
"Private,  cozy,  comfortable,  it feels like home",127836236.0,Bronx,Williamsbridge,40.88125,-73.84921999999999,Entire home/apt,85.0,1.0,362.0,2019.0,149128.0
Spacious  convenient room available  immediately!!,222424429.0,Manhattan,Washington Heights,40.84701,-73.93949,Private room,38.0,2.0,73.0,2019.0,204096.0
Modern Studio in Washington Heights!,26973868.0,Manhattan,Washington Heights,40.842209999999994,-73.93705,Entire home/apt,90.0,4.0,51.0,2019.0,204096.0
A Place of Comfort,131848646.0,Manhattan,Washington Heights,40.83827,-73.94393000000001,Private room,55.0,7.0,57.0,2019.0,204096.0
CHARMING THREE BEDROOM APARTMENT IN MANHATTAN,270578453.0,Manhattan,Washington Heights,40.84154,-73.93766,Entire home/apt,260.0,5.0,260.0,2019.0,204096.0
Beautiful 1 BR in The Heights!,7499240.0,Manhattan,Washington Heights,40.8362,-73.94033,Private room,80.0,1.0,314.0,2019.0,204096.0
"Clean , Quite and Comfortable Queen size bed",143979484.0,Manhattan,Washington Heights,40.8453,-73.93795,Private room,52.0,5.0,310.0,2019.0,204096.0
Homey Studio just minutes from Time Square,21129281.0,Manhattan,Washington Heights,40.83899,-73.93979,Entire home/apt,70.0,5.0,191.0,2019.0,204096.0
300 Square Foot Private Room - in MANHATTAN!!,18418581.0,Manhattan,Washington Heights,40.85228,-73.93498000000001,Private room,67.0,1.0,271.0,2019.0,204096.0
Amazing Oasis in NYC!,455017.0,Manhattan,Washington Heights,40.83473,-73.93706,Private room,80.0,1.0,351.0,2019.0,204096.0
2nd floor art,183707967.0,Manhattan,Washington Heights,40.85416,-73.9292,Entire home/apt,120.0,2.0,365.0,2019.0,204096.0
Secluded Master Bedroom in Beautiful Huge Apt,124797.0,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85.0,15.0,307.0,2019.0,204096.0
Riverside Drive Apartment,59181407.0,Manhattan,Washington Heights,40.83573,-73.94895,Entire home/apt,129.0,31.0,306.0,2019.0,204096.0
1 Bd. MANHATTAN NY Entire Apt. 1 yr-6 months min.,1423613.0,Manhattan,Washington Heights,40.85774,-73.92900999999999,Entire home/apt,56.0,122.0,216.0,2019.0,204096.0
Private room in Washington Heights!,222064628.0,Manhattan,Washington Heights,40.84832,-73.93583000000001,Private room,42.0,1.0,77.0,2019.0,204096.0
Beautiful two bedroom apartment in Manhattan NYC,96235534.0,Manhattan,Washington Heights,40.843340000000005,-73.9405,Entire home/apt,130.0,2.0,116.0,2019.0,204096.0
"""In The Heights"" Luxurious triplex in historic TH",27973267.0,Manhattan,Washington Heights,40.84956,-73.93271,Entire home/apt,595.0,2.0,39.0,2019.0,204096.0
Historic Heights-Private Queen Room,2155213.0,Manhattan,Washington Heights,40.84393,-73.94065,Private room,83.0,2.0,80.0,2019.0,204096.0
Cozy private 1.5BR Garden Apartment w/ backyard,44332076.0,Manhattan,Washington Heights,40.84915,-73.93316999999999,Entire home/apt,170.0,5.0,121.0,2019.0,204096.0
Museum Bed and Breakfast: Apt 3R Garden View,49736436.0,Manhattan,Washington Heights,40.83583,-73.93847,Entire home/apt,120.0,3.0,116.0,2019.0,204096.0
Nice Private Room in Manhattan,53725579.0,Manhattan,Washington Heights,40.84493,-73.93843000000001,Private room,45.0,1.0,205.0,2019.0,204096.0
Bienvenidos a casa,234956201.0,Manhattan,Washington Heights,40.835879999999996,-73.93978,Private room,65.0,2.0,180.0,2019.0,204096.0
Classic Comfort Private Suite in the Heights,8556404.0,Manhattan,Washington Heights,40.85229,-73.9394,Private room,97.0,2.0,365.0,2019.0,204096.0
"Trendy, Chill & Comfy in Manhattan NYC",153025974.0,Manhattan,Washington Heights,40.84182,-73.93898,Entire home/apt,130.0,3.0,155.0,2019.0,204096.0
starlight of washington heights,186325219.0,Manhattan,Washington Heights,40.84008,-73.93684,Private room,100.0,5.0,365.0,2019.0,204096.0
Studio apt in Historic House Museum,49736436.0,Manhattan,Washington Heights,40.83549,-73.93968000000001,Entire home/apt,120.0,3.0,244.0,2019.0,204096.0
Harlem Residence 3,19201987.0,Manhattan,Washington Heights,40.83416,-73.94327,Private room,55.0,2.0,86.0,2019.0,204096.0
Spacious bedroom away from home,157481445.0,Manhattan,Washington Heights,40.83878,-73.94731,Private room,75.0,2.0,230.0,2019.0,204096.0
Private Room in Uptown Manhattan,24258262.0,Manhattan,Washington Heights,40.83336,-73.94333,Private room,70.0,2.0,283.0,2019.0,204096.0
Sunny Room in Beautiful Artist's Home,12190039.0,Manhattan,Washington Heights,40.83426,-73.94758,Private room,55.0,2.0,34.0,2019.0,204096.0
"*Spacious, Modern and Charming 1 Bedroom Apt!*",223418394.0,Manhattan,Washington Heights,40.84726,-73.93866,Entire home/apt,90.0,1.0,170.0,2019.0,204096.0
Luxury New Private Duplex in Manhattan,49623247.0,Manhattan,Washington Heights,40.85167,-73.92868,Entire home/apt,350.0,3.0,243.0,2019.0,204096.0
"Large Studio Apartment, 15-20mins from downtown",79753770.0,Manhattan,Washington Heights,40.83638,-73.94294000000001,Entire home/apt,125.0,30.0,323.0,2019.0,204096.0
Great room in Washington heights!,43098504.0,Manhattan,Washington Heights,40.85022,-73.92903000000001,Private room,50.0,4.0,83.0,2019.0,204096.0
"Cozy, Bright Room in Uptown Manhattan",112290211.0,Manhattan,Washington Heights,40.84623,-73.93578000000001,Private room,70.0,2.0,152.0,2019.0,204096.0
Simplicity,209332627.0,Manhattan,Washington Heights,40.85711,-73.93004,Private room,75.0,2.0,58.0,2019.0,204096.0
Lovely two bedroom apartment in Manhattan NYC,151454628.0,Manhattan,Washington Heights,40.84482,-73.94029,Entire home/apt,139.0,2.0,125.0,2019.0,204096.0
Garden Apartment on Prettiest Street in NYC,2308139.0,Manhattan,Washington Heights,40.83385,-73.94013000000001,Entire home/apt,189.0,3.0,180.0,2019.0,204096.0
Private room blocks away from HBO's The Deuce set!,34607061.0,Manhattan,Washington Heights,40.84067,-73.93602,Private room,36.0,28.0,284.0,2019.0,204096.0
Large Sunny Private Room,46322730.0,Manhattan,Washington Heights,40.844440000000006,-73.9399,Private room,95.0,2.0,170.0,2019.0,204096.0
Beautiful  Cozy  room in NYC  nearby Time square,222424429.0,Manhattan,Washington Heights,40.845620000000004,-73.94031,Private room,54.0,3.0,38.0,2019.0,204096.0
"Manhattan 2BR W/ Garden, Laundry,  Near Subway",15757322.0,Manhattan,Washington Heights,40.83611,-73.94162,Entire home/apt,161.0,2.0,294.0,2019.0,204096.0
Light-filled master Bedroom by the Cloisters,41844032.0,Manhattan,Washington Heights,40.85768,-73.92855,Private room,70.0,2.0,163.0,2019.0,204096.0
New York Home,191765199.0,Manhattan,Washington Heights,40.83341,-73.94154,Entire home/apt,250.0,3.0,46.0,2019.0,204096.0
Panoramic view of Upper Manhattan!,10657357.0,Manhattan,Washington Heights,40.83367,-73.94298,Private room,69.0,3.0,270.0,2019.0,204096.0
Landmark Brownstone Sunny  3 Rooms,7245581.0,Manhattan,Washington Heights,40.83365,-73.94059,Entire home/apt,70.0,180.0,308.0,2019.0,204096.0
Your Manhattan haven: dressed in red,10657357.0,Manhattan,Washington Heights,40.83132,-73.94100999999999,Private room,50.0,5.0,177.0,2019.0,204096.0
An Upper-Manhattan room of your own!,10657357.0,Manhattan,Washington Heights,40.83328,-73.94511,Private room,51.0,6.0,258.0,2019.0,204096.0
Cozy home in vibrant Manhattan,1939728.0,Manhattan,Washington Heights,40.834340000000005,-73.94027,Private room,99.0,3.0,335.0,2019.0,204096.0
Studio In Townhouse,19902271.0,Manhattan,Washington Heights,40.83602,-73.94294000000001,Private room,105.0,3.0,288.0,2019.0,204096.0
"private, large, sunny, calm big room",113740169.0,Manhattan,Washington Heights,40.85411,-73.93167,Private room,45.0,30.0,275.0,2019.0,204096.0
At a very nice area in the WestSide,1307773.0,Manhattan,Washington Heights,40.85099,-73.92822,Private room,125.0,60.0,364.0,2019.0,204096.0
Clean and Bright (READ NOTES),13778440.0,Manhattan,Washington Heights,40.85256,-73.93598,Private room,50.0,2.0,315.0,2019.0,204096.0
LUNA 2BR SUITE by COLUMBIA-PRESBYTERIAN HOSP.,25237492.0,Manhattan,Washington Heights,40.84241,-73.94086999999999,Entire home/apt,65.0,30.0,295.0,2019.0,204096.0
Comfortable Room near the center of Manhattan.,254150644.0,Manhattan,Washington Heights,40.84661,-73.93444000000001,Private room,60.0,2.0,216.0,2019.0,204096.0
Sweet Home at Washington high everyone is welcome,32430692.0,Manhattan,Washington Heights,40.84405,-73.93796,Private room,50.0,1.0,71.0,2019.0,204096.0
Nice cozy apartment in Washington Heights!,26018582.0,Manhattan,Washington Heights,40.83419,-73.94638,Entire home/apt,135.0,3.0,214.0,2019.0,204096.0
Quiet Washington Heights Studio Apartment,213824132.0,Manhattan,Washington Heights,40.85035,-73.9325,Entire home/apt,80.0,2.0,41.0,2019.0,204096.0
Bedroom with full size bed in Washington Heights!,30995829.0,Manhattan,Washington Heights,40.84411,-73.93784000000001,Private room,50.0,3.0,113.0,2019.0,204096.0
very small room near Columbia Uni med school,222749009.0,Manhattan,Washington Heights,40.84427,-73.94216,Private room,45.0,1.0,66.0,2019.0,204096.0
Sunny and Spacious  room near CUMC,269078124.0,Manhattan,Washington Heights,40.84251,-73.94105,Private room,52.0,1.0,33.0,2019.0,204096.0
Bright spacious 3bd; near subways and bus,13795689.0,Manhattan,Washington Heights,40.84203,-73.93985,Private room,85.0,2.0,318.0,2019.0,204096.0
Private room like studio in shared APT,269078124.0,Manhattan,Washington Heights,40.84365,-73.94069,Private room,60.0,20.0,180.0,2019.0,204096.0
Large Chic Uptown NYC Apartment,225646557.0,Manhattan,Washington Heights,40.839009999999995,-73.93802,Entire home/apt,199.0,2.0,171.0,2019.0,204096.0
Cozy sunny Apt in NYC,3447539.0,Manhattan,Washington Heights,40.84915,-73.93848,Private room,59.0,30.0,99.0,2019.0,204096.0
